
EDGES TABLE (nodes = 1, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 vote	2.358720	4.445882	8.947886	8.588981	29.096165
2 vote	0.811494	2.237433	5.218366	7.524497	15.510413
4 vote	0.592669	1.671756	2.758160	4.177170	8.649043
8 vote	0.729751	1.370622	2.068117	3.882734	6.797322
16 vote	0.316186	0.627734	1.100934	2.257556	1.851259
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	2.906640	1.987046	1.714691	1.141469	1.875912
4 speedup	3.979830	2.659409	3.244150	2.056172	3.364091
8 speedup	3.232225	3.243696	4.326587	2.212096	4.280534
16 speedup	7.459910	7.082433	8.127542	3.804549	15.716959
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	1.453320	0.993523	0.857346	0.570735	0.937956
4 efficiency	0.994957	0.664852	0.811038	0.514043	0.841023
8 efficiency	0.404028	0.405462	0.540823	0.276512	0.535067
16 efficiency	0.466244	0.442652	0.507971	0.237784	0.982310

EDGES TABLE (nodes = 2, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 vote	1.995166	1.871611	3.772417	15.029231	35.234280
2 vote	1.004434	1.152587	2.077964	4.258093	7.542253
4 vote	0.493684	0.583318	1.024150	3.604216	9.032715
8 vote	0.289399	0.825642	1.027064	1.924675	1.412787
16 vote	0.270641	0.497532	0.708519	1.100846	2.984894
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	1.986359	1.623835	1.815439	3.529568	4.671586
4 speedup	4.041380	3.208563	3.683462	4.169903	3.900741
8 speedup	6.894173	2.266857	3.673010	7.808712	24.939549
16 speedup	7.371994	3.761787	5.324372	13.652435	11.804198
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.993180	0.811917	0.907720	1.764784	2.335793
4 efficiency	1.010345	0.802141	0.920866	1.042476	0.975185
8 efficiency	0.861772	0.283357	0.459126	0.976089	3.117444
16 efficiency	0.460750	0.235112	0.332773	0.853277	0.737762

EDGES TABLE (nodes = 4, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 vote	0.698519	1.485281	2.291921	5.061264	7.284208
2 vote	0.589690	1.037155	1.542464	2.636800	6.371279
4 vote	0.319034	0.690183	1.181124	2.376508	3.414854
8 vote	0.316129	0.331509	0.615501	1.189366	1.645545
16 vote	0.142731	0.221336	0.369470	0.737614	1.300977
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	1.184552	1.432072	1.485883	1.919472	1.143288
4 speedup	2.189481	2.152010	1.940458	2.129706	2.133095
8 speedup	2.209602	4.480359	3.723670	4.255430	4.426623
16 speedup	4.893943	6.710517	6.203263	6.861669	5.599030
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.592276	0.716036	0.742942	0.959736	0.571644
4 efficiency	0.547370	0.538003	0.485115	0.532427	0.533274
8 efficiency	0.276200	0.560045	0.465459	0.531929	0.553328
16 efficiency	0.305871	0.419407	0.387704	0.428854	0.349939

EDGES TABLE (nodes = 8, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 vote	0.418133	0.929902	1.476358	3.854445	5.515134
2 vote	0.240906	0.454196	1.158297	2.231826	4.331151
4 vote	0.312908	0.436613	0.872524	1.295623	4.820250
8 vote	0.137643	0.276924	0.417748	0.677511	1.522533
16 vote	0.106653	0.185983	0.237335	0.631443	0.865629
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	1.735666	2.047355	1.274593	1.727037	1.273365
4 speedup	1.336279	2.129807	1.692055	2.974975	1.144159
8 speedup	3.037804	3.357961	3.534084	5.689122	3.622340
16 speedup	3.920513	4.999930	6.220570	6.104189	6.371241
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.867833	1.023678	0.637296	0.863518	0.636682
4 efficiency	0.334070	0.532452	0.423014	0.743744	0.286040
8 efficiency	0.379726	0.419745	0.441760	0.711140	0.452793
16 efficiency	0.245032	0.312496	0.388786	0.381512	0.398203

EDGES TABLE (nodes = 16, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 vote	0.268162	0.547032	0.885219	3.983971	3.558015
2 vote	0.379546	0.578812	0.990109	1.543938	2.409507
4 vote	0.135969	0.244561	0.527512	1.145340	1.237917
8 vote	0.134048	0.160581	0.265639	0.735011	0.621073
16 vote	0.083049	0.154893	0.150083	0.305982	0.483616
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	0.706533	0.945095	0.894062	2.580396	1.476657
4 speedup	1.972228	2.236794	1.678102	3.478417	2.874195
8 speedup	2.000497	3.406572	3.332412	5.420284	5.728822
16 speedup	3.228941	3.531686	5.898208	13.020281	7.357107
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.353267	0.472548	0.447031	1.290198	0.738328
4 efficiency	0.493057	0.559198	0.419526	0.869604	0.718549
8 efficiency	0.250062	0.425821	0.416551	0.677536	0.716103
16 efficiency	0.201809	0.220730	0.368638	0.813768	0.459819

THETA TABLE (nodes = 1, edges = 320000)

cores/theta	1	2	4	8	16
1 vote	1.471743	3.153688	6.883959	15.152122	29.096165
2 vote	0.795501	1.896387	4.173504	7.370274	15.510413
4 vote	0.405035	1.129162	1.886731	3.928972	8.649043
8 vote	0.398702	1.151509	1.715968	3.688330	6.797322
16 vote	0.515997	0.464419	0.952541	2.079203	1.851259
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	1.850084	1.662998	1.649444	2.055843	1.875912
4 speedup	3.633622	2.792944	3.648618	3.856511	3.364091
8 speedup	3.691339	2.738743	4.011706	4.108125	4.280534
16 speedup	2.852230	6.790603	7.226945	7.287466	15.716959
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.925042	0.831499	0.824722	1.027921	0.937956
4 efficiency	0.908405	0.698236	0.912155	0.964128	0.841023
8 efficiency	0.461417	0.342343	0.501463	0.513516	0.535067
16 efficiency	0.178264	0.424413	0.451684	0.455467	0.982310

THETA TABLE (nodes = 2, edges = 320000)

cores/theta	1	2	4	8	16
1 vote	0.875324	2.198178	4.754731	6.919418	35.234280
2 vote	0.456960	0.952873	2.389372	1.680866	7.542253
4 vote	0.305239	0.856092	1.439049	4.183648	9.032715
8 vote	0.173204	1.020696	0.827806	2.317987	1.412787
16 vote	0.113730	0.259588	0.454964	1.220317	2.984894
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	1.915535	2.306894	1.989950	4.116579	4.671586
4 speedup	2.867669	2.567689	3.304078	1.653920	3.900741
8 speedup	5.053728	2.153606	5.743774	2.985098	24.939549
16 speedup	7.696524	8.467931	10.450782	5.670179	11.804198
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.957767	1.153447	0.994975	2.058289	2.335793
4 efficiency	0.716917	0.641922	0.826019	0.413480	0.975185
8 efficiency	0.631716	0.269201	0.717972	0.373137	3.117444
16 efficiency	0.481033	0.529246	0.653174	0.354386	0.737762

THETA TABLE (nodes = 4, edges = 320000)

cores/theta	1	2	4	8	16
1 vote	0.580526	1.155015	1.954185	5.600844	7.284208
2 vote	0.303311	0.899071	1.120192	2.350032	6.371279
4 vote	0.627511	0.422892	3.507611	3.436116	3.414854
8 vote	0.119138	0.209609	0.588764	1.186817	1.645545
16 vote	0.045920	0.136248	0.304509	0.849180	1.300977
1 speedup	1.000000	1.000000	1.000000	1.000000	1.000000
2 speedup	1.913967	1.284675	1.744508	2.383305	1.143288
4 speedup	0.925126	2.731227	0.557127	1.629993	2.133095
8 speedup	4.872739	5.510325	3.319134	4.719214	4.426623
16 speedup	12.642070	8.477310	6.417486	6.595591	5.599030
1 efficiency	1.000000	1.000000	1.000000	1.000000	1.000000
2 efficiency	0.956984	0.642338	0.872254	1.191653	0.571644
4 efficiency	0.231281	0.682807	0.139282	0.407498	0.533274
8 efficiency	0.609092	0.688791	0.414892	0.589902	0.553328
16 efficiency	0.790129	0.529832	0.401093	0.412224	0.349939

THETA TABLE (nodes = 8, edges = 320000)

cores/theta	1	2	4	8	16
1 vote	0.492985	0.641639	4.716646	2.977130	5.515134
2 vote	0.177597	0.383669	0.834747	1.575557	4.331151
4 vote	0.100748	0.245668	2.736732	1.583498	4.820250
8 vote	0.170028	0.389832	0.279220	0.795405	1.522533
16 vote	0.035007	0.102692	0.167913	0.406090	0.865629
