
EDGES TABLE (nodes = 1, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	2.45	4.53	9.03	8.63	29.19
1 vote	2.36	4.45	8.95	8.59	29.10
1 peaks	0.04	0.04	0.04	0.02	0.04
2 run	0.89	2.35	5.34	7.64	15.62
2 vote	0.81	2.24	5.22	7.52	15.51
2 peaks	0.01	0.02	0.02	0.02	0.02
4 run	0.72	1.83	2.89	4.31	8.78
4 vote	0.59	1.67	2.76	4.18	8.65
4 peaks	0.01	0.01	0.01	0.01	0.01
8 run	0.87	1.60	2.21	4.01	6.94
8 vote	0.73	1.37	2.07	3.88	6.80
8 peaks	0.01	0.01	0.00	0.01	0.00
16 run	0.53	0.86	1.32	2.48	2.03
16 vote	0.32	0.63	1.10	2.26	1.85
16 peaks	0.00	0.00	0.00	0.00	0.00

EDGES TABLE (nodes = 2, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	2.18	2.00	3.92	15.19	35.44
1 vote	2.00	1.87	3.77	15.03	35.23
1 peaks	0.02	0.02	0.02	0.02	0.03
2 run	1.30	1.44	2.37	4.57	7.86
2 vote	1.00	1.15	2.08	4.26	7.54
2 peaks	0.01	0.01	0.01	0.01	0.01
4 run	0.98	1.08	1.53	4.09	9.59
4 vote	0.49	0.58	1.02	3.60	9.03
4 peaks	0.00	0.00	0.00	0.00	0.01
8 run	1.30	1.71	1.95	2.86	2.28
8 vote	0.29	0.83	1.03	1.92	1.41
8 peaks	0.00	0.00	0.00	0.00	0.00
16 run	1.84	2.24	2.19	2.62	4.66
16 vote	0.27	0.50	0.71	1.10	2.98
16 peaks	0.00	0.00	0.00	0.00	0.00

EDGES TABLE (nodes = 4, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	1.30	1.77	2.55	5.89	7.54
1 vote	0.70	1.49	2.29	5.06	7.28
1 peaks	0.01	0.01	0.01	0.01	0.01
2 run	1.20	1.48	2.07	3.21	7.03
2 vote	0.59	1.04	1.54	2.64	6.37
2 peaks	0.01	0.01	0.01	0.01	0.01
4 run	1.16	1.38	1.92	3.12	4.17
4 vote	0.32	0.69	1.18	2.38	3.41
4 peaks	0.00	0.00	0.00	0.00	0.00
8 run	1.79	1.50	1.84	3.03	3.90
8 vote	0.32	0.33	0.62	1.19	1.65
8 peaks	0.00	0.00	0.00	0.00	0.00
16 run	2.73	2.44	2.70	3.14	4.22
16 vote	0.14	0.22	0.37	0.74	1.30
16 peaks	0.00	0.00	0.00	0.00	0.00

EDGES TABLE (nodes = 8, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	1.20	3.17	2.72	4.32	5.83
1 vote	0.42	0.93	1.48	3.85	5.52
1 peaks	0.01	0.01	0.01	0.01	0.01
2 run	1.65	2.55	2.55	3.10	4.84
2 vote	0.24	0.45	1.16	2.23	4.33
2 peaks	0.00	0.00	0.00	0.00	0.00
4 run	1.31	3.95	2.76	2.50	6.28
4 vote	0.31	0.44	0.87	1.30	4.82
4 peaks	0.00	0.01	0.00	0.00	0.00
8 run	2.22	5.00	3.18	2.26	4.54
8 vote	0.14	0.28	0.42	0.68	1.52
8 peaks	0.01	0.01	0.00	0.00	0.00
16 run	3.29	5.65	3.69	4.00	4.67
16 vote	0.11	0.19	0.24	0.63	0.87
16 peaks	0.00	0.00	0.00	0.01	0.00

EDGES TABLE (nodes = 16, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	2.83	1.55	2.42	4.97	4.60
1 vote	0.27	0.55	0.89	3.98	3.56
1 peaks	0.01	0.00	0.00	0.00	0.01
