
EDGES TABLE (nodes = 1, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	2.74	2.07	8.98	17.64	13.93
1 vote	2.64	2.02	8.88	17.52	13.87
1 peaks	0.06	0.02	0.06	0.07	0.02
2 run	1.51	1.11	5.17	9.52	7.33
2 vote	1.45	1.08	5.12	9.45	7.30
2 peaks	0.03	0.01	0.03	0.03	0.01
4 run	0.30	0.59	2.45	4.69	3.94
4 vote	0.28	0.58	2.42	4.65	3.92
4 peaks	0.01	0.01	0.02	0.02	0.01
8 run	0.25	0.42	2.32	2.33	3.16
8 vote	0.24	0.41	2.30	2.30	3.16
8 peaks	0.00	0.00	0.01	0.01	0.00
16 run	0.15	0.55	1.07	2.45	1.84
16 vote	0.14	0.54	1.07	2.44	1.84
16 peaks	0.00	0.00	0.00	0.00	0.00

EDGES TABLE (nodes = 2, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	2.49	5.97	9.30	17.33	32.49
1 vote	2.39	5.86	9.20	17.21	32.38
1 peaks	0.06	0.06	0.06	0.06	0.06
2 run	1.26	2.90	4.43	8.97	17.46
2 vote	1.21	2.83	4.38	8.91	17.41
2 peaks	0.03	0.03	0.03	0.04	0.03
4 run	0.88	1.68	3.17	7.18	9.68
4 vote	0.85	1.65	3.13	7.14	9.65
4 peaks	0.02	0.02	0.02	0.02	0.02
8 run	0.64	0.89	1.75	3.18	5.75
8 vote	0.62	0.88	1.74	3.16	5.73
8 peaks	0.01	0.01	0.01	0.01	0.01
16 run	0.29	0.55	1.06	1.25	3.52
16 vote	0.28	0.54	1.05	1.24	3.51
16 peaks	0.00	0.00	0.00	0.00	0.01

EDGES TABLE (nodes = 4, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	3.30	5.77	11.25	21.02	31.40
1 vote	3.19	5.67	11.15	20.91	31.30
1 peaks	0.06	0.06	0.06	0.06	0.06
2 run	1.80	3.22	6.66	10.95	22.93
2 vote	1.73	3.16	6.59	10.88	22.85
2 peaks	0.03	0.03	0.03	0.03	0.04
4 run	0.95	1.67	3.66	5.79	9.46
4 vote	0.91	1.64	3.63	5.75	9.41
4 peaks	0.02	0.02	0.02	0.02	0.02
8 run	0.51	1.30	2.06	3.16	5.57
8 vote	0.49	1.27	2.04	3.14	5.55
8 peaks	0.01	0.01	0.01	0.01	0.01
16 run	0.36	0.52	1.23	1.73	3.50
16 vote	0.35	0.51	1.22	1.72	3.49
16 peaks	0.01	0.01	0.01	0.01	0.01

EDGES TABLE (nodes = 8, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	4.11	6.60	12.97	25.56	52.83
1 vote	3.99	6.48	12.85	25.42	52.68
1 peaks	0.06	0.07	0.07	0.08	0.08
2 run	1.72	3.28	6.36	11.70	37.67
2 vote	1.66	3.22	6.29	11.63	37.59
2 peaks	0.03	0.03	0.03	0.03	0.05
4 run	0.35	2.24	5.77	4.84	9.04
4 vote	0.33	2.21	5.72	4.81	9.01
4 peaks	0.01	0.02	0.02	0.02	0.02
8 run	0.59	1.16	1.54	2.76	2.27
8 vote	0.57	1.14	1.52	2.74	2.26
8 peaks	0.01	0.01	0.01	0.01	0.00
16 run	0.38	0.72	1.38	3.25	2.13
16 vote	0.36	0.70	1.37	3.23	2.12
16 peaks	0.01	0.01	0.01	0.01	0.00

EDGES TABLE (nodes = 16, tmult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	4.03	7.17	13.58	32.46	49.20
1 vote	3.91	7.05	13.46	32.34	49.08
1 peaks	0.07	0.07	0.07	0.07	0.07
2 run	1.99	7.60	7.61	12.60	21.98
2 vote	1.93	7.49	7.53	12.54	21.92
2 peaks	0.04	0.06	0.04	0.04	0.03
4 run	0.78	1.51	1.88	11.06	13.63
4 vote	0.76	1.48	1.86	11.02	13.60
4 peaks	0.01	0.01	0.01	0.02	0.02
8 run	0.56	1.06	2.03	4.27	6.34
8 vote	0.54	1.04	2.01	4.24	6.32
8 peaks	0.01	0.01	0.01	0.01	0.01
16 run	0.25	0.20	0.38	1.57	1.32
16 vote	0.24	0.19	0.37	1.56	1.31
16 peaks	0.01	0.00	0.00	0.01	0.00

THETA TABLE (nodes = 1, edges = 320000)

cores/theta	1	2	4	8	16
1 run	1.66	3.81	3.39	7.02	13.93
1 vote	1.65	3.80	3.38	6.99	13.87
1 peaks	0.00	0.01	0.01	0.01	0.02
2 run	0.99	2.12	1.89	3.73	7.33
2 vote	0.99	2.11	1.89	3.72	7.30
2 peaks	0.00	0.00	0.00	0.01	0.01
4 run	0.71	1.24	1.12	2.08	3.94
4 vote	0.71	1.23	1.12	2.08	3.92
4 peaks	0.00	0.00	0.00	0.00	0.01
8 run	0.54	1.23	0.84	1.57	3.16
8 vote	0.52	1.22	0.84	1.57	3.16
8 peaks	0.01	0.00	0.00	0.00	0.00
16 run	0.33	0.55	0.99	1.79	1.84
16 vote	0.33	0.55	0.99	1.79	1.84
16 peaks	0.00	0.00	0.00	0.00	0.00

THETA TABLE (nodes = 2, edges = 320000)

cores/theta	1	2	4	8	16
1 run	1.99	4.25	3.53	17.24	32.49
1 vote	1.98	4.23	3.52	17.17	32.38
1 peaks	0.00	0.01	0.01	0.03	0.06
2 run	0.66	2.08	1.92	8.70	17.46
2 vote	0.66	2.08	1.91	8.67	17.41
2 peaks	0.00	0.00	0.00	0.02	0.03
4 run	0.68	1.33	1.24	2.87	9.68
4 vote	0.68	1.32	1.24	2.86	9.65
4 peaks	0.00	0.00	0.00	0.01	0.02
8 run	0.39	1.37	0.73	2.69	5.75
8 vote	0.39	1.36	0.72	2.68	5.73
8 peaks	0.00	0.00	0.00	0.00	0.01
16 run	0.23	0.44	0.82	1.65	3.52
16 vote	0.23	0.43	0.81	1.65	3.51
16 peaks	0.00	0.00	0.00	0.00	0.01

THETA TABLE (nodes = 4, edges = 320000)

cores/theta	1	2	4	8	16
1 run	1.98	3.52	8.08	15.95	31.40
1 vote	1.97	3.51	8.05	15.89	31.30
1 peaks	0.00	0.01	0.02	0.03	0.06
2 run	1.15	1.92	3.98	9.71	22.93
2 vote	1.15	1.91	3.97	9.68	22.85
2 peaks	0.00	0.00	0.01	0.02	0.04
4 run	0.92	1.33	2.53	6.46	9.46
4 vote	0.92	1.33	2.51	6.45	9.41
4 peaks	0.00	0.00	0.01	0.01	0.02
8 run	0.37	0.83	1.57	3.63	5.57
8 vote	0.37	0.83	1.57	3.62	5.55
8 peaks	0.00	0.00	0.00	0.01	0.01
16 run	0.32	0.43	0.84	3.20	3.50
16 vote	0.32	0.43	0.84	3.19	3.49
16 peaks	0.00	0.00	0.00	0.00	0.01

THETA TABLE (nodes = 8, edges = 320000)

cores/theta	1	2	4	8	16
1 run	1.91	4.08	7.45	22.43	52.83
1 vote	1.90	4.07	7.43	22.36	52.68
1 peaks	0.00	0.01	0.01	0.04	0.08
2 run	1.34	2.15	2.16	9.56	37.67
2 vote	1.33	2.14	2.15	9.53	37.59
2 peaks	0.00	0.00	0.00	0.02	0.05
4 run	0.66	1.80	2.64	10.08	9.04
4 vote	0.66	1.79	2.63	10.05	9.01
4 peaks	0.00	0.00	0.01	0.01	0.02
8 run	0.43	0.70	1.30	2.36	2.27
8 vote	0.42	0.70	1.29	2.35	2.26
8 peaks	0.00	0.00	0.00	0.01	0.00
16 run	0.30	0.70	1.34	2.36	2.13
16 vote	0.29	0.70	1.34	2.35	2.12
16 peaks	0.00	0.00	0.00	0.01	0.00

THETA TABLE (nodes = 16, edges = 320000)

cores/theta	1	2	4	8	16
1 run	1.93	3.72	6.05	15.82	49.20
1 vote	1.92	3.71	6.03	15.77	49.08
1 peaks	0.00	0.01	0.01	0.03	0.07
2 run	2.09	2.90	4.18	8.07	21.98
2 vote	2.08	2.89	4.16	8.04	21.92
2 peaks	0.00	0.01	0.01	0.02	0.03
4 run	0.39	2.35	1.92	2.04	13.63
4 vote	0.39	2.35	1.91	2.03	13.60
4 peaks	0.00	0.00	0.00	0.00	0.02
8 run	0.53	0.97	1.88	1.14	6.34
8 vote	0.52	0.97	1.87	1.14	6.32
8 peaks	0.00	0.00	0.00	0.00	0.01
16 run	0.11	0.20	0.39	1.09	1.32
16 vote	0.11	0.20	0.39	1.08	1.31
16 peaks	0.00	0.00	0.00	0.00	0.00
