EDGES TABLE (t_mult = 16)

cores/edges	20000	40000	80000	160000	320000
1 run	2.46	8.05	13.55	23.74	35.85
1 vote	2.36	7.84	13.35	23.54	35.66
1 peaks	0.05	0.11	0.10	0.10	0.10
2 run	1.58	5.30	7.92	13.87	22.76
2 vote	1.43	5.06	7.69	13.63	22.53
2 peaks	0.03	0.05	0.05	0.05	0.05
4 run	1.71	2.51	5.40	8.35	6.28
4 vote	1.45	2.28	5.17	8.11	6.15
4 peaks	0.03	0.03	0.03	0.03	0.01
8 run	1.50	1.33	3.84	6.95	12.41
8 vote	1.19	1.16	3.60	6.71	12.18
8 peaks	0.02	0.01	0.01	0.01	0.01
16 run	0.95	1.47	1.33	4.25	7.10
16 vote	0.62	1.14	1.10	3.82	6.73
16 peaks	0.01	0.01	0.00	0.01	0.01

T_MULT TABLE (edges = 320000)

cores/theta	1	2	4	8	16
1 run	1.25	4.96	9.81	9.86	35.85
1 vote	1.24	4.94	9.76	9.82	35.66
1 peaks	0.00	0.01	0.03	0.02	0.10
2 run	1.37	2.98	5.83	12.17	21.44
2 vote	1.35	2.95	5.77	12.05	21.22
2 peaks	0.00	0.01	0.01	0.03	0.05
4 run	0.36	1.36	4.74	5.85	12.54
4 vote	0.36	1.34	4.67	5.74	12.32
4 peaks	0.00	0.00	0.01	0.01	0.03
8 run	0.62	1.32	2.22	2.34	10.76
8 vote	0.60	1.29	2.16	2.26	10.52
8 peaks	0.00	0.00	0.00	0.00	0.01
16 run	0.33	0.69	1.71	3.20	7.00
16 vote	0.31	0.65	1.63	3.03	6.65
16 peaks	0.00	0.00	0.00	0.00	0.01
